learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
4,13,12,0,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.432870926
4,13,12,1,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.325647261
4,13,12,2,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.305463376
4,13,12,3,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.29318414
4,13,12,4,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.427138323
4,13,12,5,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.334208588
4,13,12,6,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.322673325
4,13,12,7,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.322199541
4,13,12,8,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.361946912
4,13,12,9,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,0.343047751
5,9,2,0,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.694042743
5,9,2,1,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.603573959
5,9,2,2,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.563134802
5,9,2,3,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.639906064
5,9,2,4,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.507961223
5,9,2,5,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.656822151
5,9,2,6,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.416611803
5,9,2,7,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.646357856
5,9,2,8,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.666253757
5,9,2,9,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,0.606698614
6,19,14,0,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.428493897
6,19,14,1,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.313336201
6,19,14,2,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.37488395
6,19,14,3,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.355425812
6,19,14,4,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.257332772
6,19,14,5,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.464649816
6,19,14,6,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.231900206
6,19,14,7,0.22,0.863,0.181,0.076446533,0.048126221,0.173339844,0,0.338090312
