learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.694122314,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.479858398,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.914825439,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.079650879,0.116882324,0.639251709,N/A,No Rating Submission
2,8,0,0.201,0.881,0.16,0.947937012,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.04498291,0.324493408,0.895233154,N/A,No Rating Submission
2,8,2,0.201,0.881,0.16,0.058502197,0.188873291,0.872253418,N/A,No Rating Submission
2,8,3,0.201,0.881,0.16,0.845703125,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.724395752,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.834533691,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.36605835,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.305511475,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.625671387,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.015014648,0.326263428,0.533477783,N/A,No Rating Submission
3,10,2,0.215,0.875,0.15,0.562896729,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.645965576,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.090393066,0.211639404,0.959228516,N/A,No Rating Submission
3,10,5,0.215,0.875,0.15,0.472869873,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.346740723,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.747375488,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.594512939,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.911499023,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.333679199,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.672485352,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.499481201,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.090270996,0.836334229,0.891448975,N/A,No Rating Submission
4,13,4,0.229,0.865,0.154,0.559539795,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.820556641,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.688995361,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.211212158,0.911621094,N/A,N/A,No Recommendation Follow
4,13,8,0.229,0.865,0.154,0.348876953,N/A,N/A,N/A,No Recommendation Request
4,13,9,0.229,0.865,0.154,0.678527832,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.914337158,N/A,N/A,N/A,No Recommendation Request
4,13,11,0.229,0.865,0.154,0.841766357,N/A,N/A,N/A,No Recommendation Request
4,13,12,0.229,0.865,0.154,0.134429932,0.646179199,0.106567383,1,
5,9,0,0.22,0.871,0.172,0.753845215,N/A,N/A,N/A,No Recommendation Request
5,9,1,0.22,0.871,0.172,0.285339355,N/A,N/A,N/A,No Recommendation Request
5,9,2,0.22,0.871,0.172,0.11315918,0.215942383,0.010437012,4,
5,9,3,0.22,0.871,0.172,0.447540283,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.668334961,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.106781006,0.501831055,0.896697998,N/A,No Rating Submission
5,9,6,0.22,0.871,0.172,0.484313965,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.46685791,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.178314209,0.617095947,0.630889893,N/A,No Rating Submission
6,19,0,0.22,0.863,0.181,0.708526611,N/A,N/A,N/A,No Recommendation Request
6,19,1,0.22,0.863,0.181,0.530456543,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.959472656,N/A,N/A,N/A,No Recommendation Request
6,19,3,0.22,0.863,0.181,0.932220459,N/A,N/A,N/A,No Recommendation Request
