learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,0.163,0.727905,0
1,4,3,0.238,0.877,0.163,0.594788,1
3,10,1,0.215,0.875,0.15,0.457886,0
3,10,2,0.215,0.875,0.15,0.261047,1
3,10,4,0.215,0.875,0.15,0.134796,2
3,10,7,0.215,0.875,0.15,0.276306,3
3,10,8,0.215,0.875,0.15,0.406799,7
4,13,0,0.229,0.865,0.154,0.084015,2
4,13,1,0.229,0.865,0.154,0.881653,7
4,13,4,0.229,0.865,0.154,0.955139,6
4,13,6,0.229,0.865,0.154,0.658478,4
4,13,7,0.229,0.865,0.154,0.18515,3
4,13,10,0.229,0.865,0.154,0.785583,1
5,9,5,0.22,0.871,0.172,0.171265,2
5,9,8,0.22,0.871,0.172,0.039642,7
6,19,0,0.22,0.863,0.181,0.15213,2
6,19,1,0.22,0.863,0.181,0.641083,7
6,19,2,0.22,0.863,0.181,0.757568,6
6,19,8,0.22,0.863,0.181,0.039795,4
6,19,11,0.22,0.863,0.181,0.753754,1
7,8,3,0.209,0.866,0.153,0.498413,2
7,8,4,0.209,0.866,0.153,0.155396,7
7,8,6,0.209,0.866,0.153,0.022278,1
8,10,3,0.223,0.887,0.165,0.557709,2
8,10,6,0.223,0.887,0.165,0.076294,7
9,13,4,0.199,0.871,0.156,0.465057,2
9,13,6,0.199,0.871,0.156,0.922516,7
10,7,0,0.2,0.876,0.158,0.512512,2
10,7,2,0.2,0.876,0.158,0.991302,7
10,7,5,0.2,0.876,0.158,0.444916,1
12,19,3,0.221,0.877,0.142,0.416473,2
12,19,5,0.221,0.877,0.142,0.164215,7
12,19,6,0.221,0.877,0.142,0.028961,1
12,19,7,0.221,0.877,0.142,0.255035,6
12,19,12,0.221,0.877,0.142,0.230225,5
12,19,13,0.221,0.877,0.142,0.622803,8
13,8,4,0.232,0.87,0.181,0.194305,2
14,7,4,0.219,0.871,0.161,0.399597,2
14,7,5,0.219,0.871,0.161,0.677429,7
15,15,5,0.218,0.879,0.17,0.479736,2
15,15,8,0.218,0.879,0.17,0.250641,7
15,15,11,0.218,0.879,0.17,0.070587,1
16,8,1,0.201,0.854,0.167,0.789215,2
16,8,4,0.201,0.854,0.167,0.539917,7
