learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.544189
1,4,1,0.238,0.877,0.163,0.520477
1,4,2,0.238,0.877,0.163,0.08316
1,4,2,0.238,0.877,0.163,0.833649
1,4,2,0.238,0.877,0.163,0.554626
1,4,3,0.238,0.877,0.163,0.852295
2,8,0,0.201,0.881,0.16,0.592743
2,8,1,0.201,0.881,0.16,0.72406
2,8,2,0.201,0.881,0.16,0.902405
2,8,3,0.201,0.881,0.16,0.11203
2,8,3,0.201,0.881,0.16,0.294769
2,8,3,0.201,0.881,0.16,0.707977
2,8,4,0.201,0.881,0.16,0.413605
2,8,5,0.201,0.881,0.16,0.803375
2,8,6,0.201,0.881,0.16,0.328308
2,8,7,0.201,0.881,0.16,0.247437
3,10,0,0.215,0.875,0.15,0.727386
3,10,1,0.215,0.875,0.15,0.600067
3,10,2,0.215,0.875,0.15,0.341156
3,10,3,0.215,0.875,0.15,0.02597
3,10,3,0.215,0.875,0.15,0.69519
3,10,3,0.215,0.875,0.15,0.257782
3,10,4,0.215,0.875,0.15,0.916046
3,10,5,0.215,0.875,0.15,0.390717
3,10,6,0.215,0.875,0.15,0.821716
3,10,7,0.215,0.875,0.15,0.677765
3,10,8,0.215,0.875,0.15,0.895508
3,10,9,0.215,0.875,0.15,0.80072
4,13,0,0.229,0.865,0.154,0.757172
4,13,1,0.229,0.865,0.154,0.639648
4,13,2,0.229,0.865,0.154,0.101807
4,13,2,0.229,0.865,0.154,0.448883
4,13,2,0.229,0.865,0.154,0.858368
4,13,3,0.229,0.865,0.154,0.805054
4,13,4,0.229,0.865,0.154,0.198486
4,13,4,0.229,0.865,0.154,0.528442
4,13,4,0.229,0.865,0.154,0.065125
4,13,4,0.229,0.865,0.154,0.665894
4,13,5,0.229,0.865,0.154,0.495178
4,13,6,0.229,0.865,0.154,0.065826
4,13,6,0.229,0.865,0.154,0.65451
4,13,6,0.229,0.865,0.154,0.557373
4,13,7,0.229,0.865,0.154,0.761627
4,13,8,0.229,0.865,0.154,0.917297
